road_type,hour,congestion_index
all,0,1.0
all,1,1.0
all,2,1.0
all,3,1.0
all,4,1.0
all,5,0.999999047695232
all,6,0.996390716841267
all,7,0.9999947623237759
all,8,0.9999947623237759
all,9,0.9999980953904639
all,10,0.999995714628544
all,11,1.0
all,12,0.999995714628544
all,13,0.999999047695232
all,14,1.0
all,15,1.0
all,16,1.0
all,17,1.0
all,18,1.0
all,19,1.0
all,20,1.0
all,21,1.0
all,22,1.0
all,23,1.0
unclassified,0,1.0
unclassified,1,1.0
unclassified,2,1.0
unclassified,3,1.0
unclassified,4,1.0
unclassified,5,0.999999047695232
unclassified,6,0.996390716841267
unclassified,7,0.9999947623237759
unclassified,8,0.9999947623237759
unclassified,9,0.9999980953904639
unclassified,10,0.999995714628544
unclassified,11,1.0
unclassified,12,0.999995714628544
unclassified,13,0.999999047695232
unclassified,14,1.0
unclassified,15,1.0
unclassified,16,1.0
unclassified,17,1.0
unclassified,18,1.0
unclassified,19,1.0
unclassified,20,1.0
unclassified,21,1.0
unclassified,22,1.0
unclassified,23,1.0
