iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;BEGIN compare with counts;END compare with counts;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;compare with counts;iterationEndsListeners;iteration
0;09:52:54;09:52:54;09:52:54;;;09:52:54;09:52:54;09:52:54;09:52:54;09:52:54;09:52:54;09:52:54;09:52:55;09:52:55;09:52:55;09:52:55;09:52:55;09:52:55;;;09:52:56;09:52:56;;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
1;09:52:56;09:52:56;09:52:56;09:52:56;09:52:56;09:52:56;09:52:56;09:52:56;09:52:56;09:52:56;09:52:56;09:52:56;09:52:56;09:52:56;09:52:56;09:52:56;09:52:56;09:52:56;;;09:52:56;09:52:56;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
2;09:52:56;09:52:56;09:52:56;09:52:56;09:52:56;09:52:56;;;09:52:56;09:52:56;09:52:56;09:52:56;09:52:57;09:52:57;09:52:57;09:52:57;09:52:57;09:52:57;;;09:52:57;09:52:57;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
3;09:52:57;09:52:57;09:52:57;09:52:57;09:52:57;09:52:57;;;09:52:57;09:52:57;09:52:57;09:52:57;09:52:57;09:52:57;09:52:57;09:52:57;09:52:57;09:52:57;;;09:52:58;09:52:58;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
4;09:52:58;09:52:58;09:52:58;09:52:58;09:52:58;09:52:58;;;09:52:58;09:52:58;09:52:58;09:52:58;09:52:58;09:52:58;09:52:58;09:52:58;09:52:58;09:52:58;;;09:52:58;09:52:58;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
5;09:52:58;09:52:58;09:52:58;09:52:58;09:52:58;09:52:58;;;09:52:58;09:52:58;09:52:58;09:52:58;09:52:59;09:52:59;09:52:59;09:52:59;09:52:59;09:52:59;;;09:52:59;09:52:59;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
6;09:52:59;09:52:59;09:52:59;09:52:59;09:52:59;09:52:59;;;09:52:59;09:52:59;09:52:59;09:52:59;09:52:59;09:52:59;09:52:59;09:52:59;09:52:59;09:52:59;;;09:52:59;09:52:59;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
7;09:52:59;09:52:59;09:52:59;09:52:59;09:52:59;09:52:59;;;09:52:59;09:52:59;09:52:59;09:52:59;09:53:00;09:53:00;09:53:00;09:53:00;09:53:00;09:53:00;;;09:53:00;09:53:00;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
8;09:53:00;09:53:00;09:53:00;09:53:00;09:53:00;09:53:00;;;09:53:00;09:53:00;09:53:00;09:53:00;09:53:01;09:53:01;09:53:01;09:53:01;09:53:01;09:53:01;;;09:53:01;09:53:01;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
9;09:53:01;09:53:01;09:53:01;09:53:01;09:53:01;09:53:01;;;09:53:01;09:53:01;09:53:01;09:53:01;09:53:01;09:53:01;09:53:01;09:53:01;09:53:01;09:53:01;;;09:53:01;09:53:01;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
10;09:53:01;09:53:01;09:53:01;09:53:01;09:53:01;09:53:01;;;09:53:01;09:53:01;09:53:01;09:53:01;09:53:02;09:53:02;09:53:02;09:53:02;09:53:02;09:53:02;09:53:02;09:53:02;09:53:02;09:53:02;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
